generation,n_finished,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
41,50,0.04100173925355662,0.0946739149809357,-0.33948538530370975,0.036717203654908374,0.3073107489077935,0.13981672845550205,-0.4790799468923529,0.05891566068171447,-0.4227813377336856,0.08854222910841165,-0.33995098947925384,0.1347060900547204,0.2766871683676726,0.053559045431449515,1.0500778082054838,0.17862530387203548,1.5302816957716727,0.14687896298743558,0.4154834363483322,0.10689635794434411,2.0315044549370724,0.05371716936673527,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
42,50,0.04196995967143815,0.09097552730655006,-0.3398196611596126,0.03663810719617737,0.3097404011449831,0.13425044348627352,-0.47520952038145714,0.06046962743266453,-0.41508428751279,0.0820448421465603,-0.3392646144778224,0.1436626789765959,0.28037555016608684,0.051057697177196056,1.0516416512531883,0.17712065950263056,1.5279192591082609,0.13837212110281713,0.42192238678433364,0.10533930080039663,2.0298171349515446,0.04756780257413835,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
43,50,0.033207928013999695,0.06738667123029772,-0.3374438573893909,0.039334480084370835,0.27560103028553384,0.0943635918266845,-0.48822228376144317,0.059892401606167864,-0.41475707071764195,0.07793436648244298,-0.3558119396010907,0.13584039653467603,0.26606323362923734,0.044890309481438115,1.0373412933723642,0.12079395782727442,1.4791426952933489,0.13915812298743113,0.41193047299019536,0.07107881694683867,2.0295308328294537,0.048638905565286716,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
44,50,0.035551249424987996,0.0656117874354253,-0.33348094014068347,0.037636676206479494,0.281487943842024,0.09569398434128754,-0.4934910556202029,0.059757406244511674,-0.4017684627394862,0.07185372475546165,-0.38209879760833626,0.1324528053409449,0.2710434832552557,0.04533941985664858,1.0313519776154367,0.11058111917991996,1.466942790018086,0.1388358235322468,0.4187171840718062,0.07253310980106129,2.027682229588469,0.045875139047482076,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
45,50,0.047335083454246175,0.07229353225758015,-0.3300555624147729,0.038062900526870475,0.2939480710871901,0.10573188412604838,-0.5034130113472252,0.05512151311011991,-0.4028453707884288,0.06605278633582305,-0.39929800759747847,0.1297787945569131,0.27451190982172174,0.04828536213103866,1.036657449914125,0.12739213353280682,1.4602395026275945,0.13281136610985392,0.42634417487450044,0.08064449368678663,2.0325518627683348,0.04700157526241753,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
46,50,0.054709360353012396,0.07095648783359015,-0.3336706032131859,0.0369429735145604,0.31444149454713216,0.10856887533612353,-0.5048677382593995,0.049820820934241034,-0.4056240475611012,0.06621998785580405,-0.40837642468924124,0.12177719933084187,0.2822076210965359,0.049622093103471175,1.0412322156638498,0.12351182210684937,1.4741934437723936,0.1292523409546138,0.43032298506483735,0.08175219606298773,2.0352123947592293,0.04623715596150689,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
47,50,0.05288256813850055,0.0658289675465462,-0.33396725293258694,0.036340706356784304,0.3150623197225364,0.10268430667214128,-0.505716679577699,0.047806004495223535,-0.40893074847137095,0.06467462776419686,-0.4151307108201366,0.11224638725198081,0.2843650566844098,0.04663552098053344,1.0300328128377068,0.10960071424455611,1.4797096056224377,0.12879279312920924,0.4249788312521586,0.07160989801858264,2.036587366030917,0.045932944515765003,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
48,50,0.05559956815170676,0.06933180712444834,-0.3349299790308725,0.0249795951135643,0.331910695611877,0.09666460849687783,-0.4993006379676868,0.04661637261993081,-0.39705405264271587,0.05116119749512942,-0.42082048450957804,0.11386173959119311,0.2978061287726684,0.035768958202904155,1.0235196730706568,0.11765072784377471,1.5026190708304525,0.11913567246685218,0.4297542287281381,0.07600221008098665,2.0306727919342893,0.038069303588341374,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
49,50,0.05785788023762189,0.06779292498371445,-0.33201489583676697,0.023882111855869012,0.33893379404274293,0.08846977419369186,-0.4972727538879361,0.04510806609077265,-0.39509197999695395,0.04958045725819061,-0.4188724908691837,0.10726044715829267,0.2998530747541781,0.030227809054117545,1.0309538663312454,0.11448366237401023,1.5113211930368486,0.10715061016142169,0.433361920108655,0.07532940010442542,2.0340813862297886,0.03549689609194812,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
50,50,0.059929612648314194,0.06829149705885973,-0.3301076829575433,0.02362285044072975,0.338367930734726,0.08784168612972428,-0.49842690509754967,0.04490467929714795,-0.39071618797560514,0.04619657028861856,-0.41700871469566536,0.1040726862195718,0.29723513830016907,0.029965517424129673,1.0381386347381276,0.1138074321579316,1.502800567688893,0.09577247147010143,0.4364866364149407,0.07382471204376577,2.03445674744703,0.03281216523380234,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
