qoi,param_i,param_j,S2,S2_conf
mean_stamina,draft_coefficient,k_aero,-0.12938108943053617,0.2384214290457454
mean_stamina,draft_coefficient,c_roll,-0.10191964487260177,0.1728319295295035
mean_stamina,draft_coefficient,recovery_rate,-0.16274797181266942,0.30548146171081936
mean_stamina,draft_coefficient,cp_fraction,-0.08126476623204594,0.14005594485810643
mean_stamina,draft_coefficient,group_radius,-0.10405829660680009,0.18076636316913264
mean_stamina,breakaway_speed_frac,k_aero,-0.21073093530717255,0.3870698591627546
mean_stamina,breakaway_speed_frac,c_roll,-0.1884930261970366,0.3193375662069641
mean_stamina,breakaway_speed_frac,recovery_rate,-0.24435708464032868,0.4535095493876999
mean_stamina,breakaway_speed_frac,cp_fraction,-0.15932664494848406,0.28938441696477324
mean_stamina,breakaway_speed_frac,group_radius,-0.18660870654658854,0.3286912866257104
mean_stamina,k_aero,c_roll,-0.026068103662277457,0.06362582363099757
mean_stamina,k_aero,recovery_rate,-0.04386508133727685,0.04541829269569559
mean_stamina,k_aero,cp_fraction,-0.044202496799895866,0.04464678659674746
mean_stamina,k_aero,group_radius,-0.03400023897104618,0.053025846055786814
mean_stamina,c_roll,recovery_rate,-0.17098863201864234,0.2959718612197987
mean_stamina,c_roll,cp_fraction,-0.08959669628056496,0.13128782099130026
mean_stamina,c_roll,group_radius,-0.11245351634517325,0.17174513050306428
mean_stamina,recovery_rate,cp_fraction,-0.14137356486629993,0.26103017619428065
mean_stamina,recovery_rate,group_radius,-0.16513852047114191,0.30158751612979234
mean_stamina,cp_fraction,group_radius,-0.08676963796697366,0.14423324822955133
num_groups,k_s,draft_coefficient,-0.09567925797948329,0.10339936600891572
num_groups,k_s,breakaway_speed_frac,-0.09637157327965142,0.1085850186193822
num_groups,k_s,k_aero,-0.061607454992637256,0.12274384355805155
num_groups,k_s,c_roll,-0.07881643531110233,0.1035869263341584
num_groups,k_s,recovery_rate,-0.07990435935422366,0.09914359281209834
num_groups,k_s,cp_fraction,-0.022590542718876033,0.0964173639033053
num_groups,k_s,group_radius,-0.07644278285338299,0.10382087081959825
num_groups,draft_coefficient,breakaway_speed_frac,-0.02612193883998723,0.06620779112554255
num_groups,draft_coefficient,k_aero,-0.007429425735447526,0.07213988860056185
num_groups,draft_coefficient,c_roll,-0.02092957408872624,0.06609445249570828
num_groups,draft_coefficient,recovery_rate,-0.021522987203156062,0.06322881929351315
num_groups,draft_coefficient,cp_fraction,-0.029039553319267233,0.06812909588330993
num_groups,draft_coefficient,group_radius,-0.026566998675809615,0.05931894574984104
num_groups,breakaway_speed_frac,k_aero,-0.031256084802442796,0.09707105529285259
num_groups,breakaway_speed_frac,c_roll,-0.03991002605454453,0.09338768358921067
num_groups,breakaway_speed_frac,recovery_rate,-0.04307489599817028,0.08951283335121131
num_groups,breakaway_speed_frac,cp_fraction,-0.020970257485659158,0.0924255140957318
num_groups,breakaway_speed_frac,group_radius,-0.049849695721244175,0.09142310403539544
num_groups,k_aero,c_roll,-0.05371014336352596,0.1680117371527434
num_groups,k_aero,recovery_rate,-0.09025450099382964,0.16518323856690983
num_groups,k_aero,cp_fraction,0.1168466759421808,0.23396725257084358
num_groups,k_aero,group_radius,-0.11577126491431225,0.1625324207497083
num_groups,c_roll,recovery_rate,-0.013168639301668129,0.05697619581011667
num_groups,c_roll,cp_fraction,0.022188892099775828,0.05938623604515893
num_groups,c_roll,group_radius,-0.022465444761068796,0.05673642865108062
num_groups,recovery_rate,cp_fraction,0.0030076953112122273,0.0555161771456226
num_groups,recovery_rate,group_radius,-0.022855226259354492,0.058808811336308636
num_groups,cp_fraction,group_radius,0.04084611978909111,0.14256360902153428
mean_exposure,k_s,draft_coefficient,0.03289291511690106,0.15459566988668766
